Food_Item,Category,Sugar_Content (g),Calories (kcal),Protein (g),Fiber (g),Carbohydrates (g),Glycemic_Index,Ripeness,Size,Average_Weight (g),Fruit
Yam,Vegetable,0.4,36.2,2.6,2.2,14.1,44,Overripe,Large,227.3,False
Avocado,Fruit,14.1,99.7,1.6,4.1,22.7,95,Overripe,Large,392.9,True
Garlic,Vegetable,3.3,45.0,2.5,6.2,13.4,34,Unripe,Medium,549.1,False
Okra,Vegetable,5.0,24.5,3.4,3.9,5.4,46,Ripe,Large,956.8,False
Pineapple,Fruit,1.9,40.2,2.4,3.8,19.5,96,Ripe,Large,301.9,True
Orange,Fruit,11.2,93.4,1.0,1.4,17.4,85,Ripe,Small,395.5,True
Turnip,Vegetable,0.6,40.5,1.7,5.0,11.2,20,Unripe,Medium,1200.3,False
Banana,Fruit,18.0,46.3,1.7,2.2,24.7,72,Unripe,Small,52.3,True
Papaya,Fruit,19.1,84.0,0.6,0.6,16.3,82,Ripe,Small,435.3,True
Potato,Vegetable,2.9,57.9,1.9,6.2,10.3,60,Unripe,Small,1024.2,False
Garlic,Vegetable,1.1,42.3,4.8,5.8,9.1,58,Unripe,Small,114.4,False
Beetroot,Vegetable,1.8,39.4,2.8,2.9,4.8,48,Ripe,Medium,890.3,False
Carrot,Vegetable,3.3,42.9,3.8,3.3,14.1,24,Overripe,Medium,1256.0,False
Lychee,Fruit,4.2,55.1,0.8,1.0,22.5,42,Ripe,Small,207.0,True
Fenugreek,Vegetable,1.1,66.7,3.0,2.9,14.0,38,Ripe,Small,1104.0,False
Pomegranate,Fruit,15.7,71.0,0.7,1.9,19.8,98,Overripe,Medium,174.6,True
Tomato,Vegetable,0.8,28.4,1.5,6.8,14.9,36,Unripe,Large,1163.7,False
Lychee,Fruit,6.3,84.7,2.9,1.4,20.7,91,Ripe,Medium,330.7,True
Fig,Fruit,6.5,33.3,0.8,4.4,13.3,72,Ripe,Small,456.6,True
Ginger,Vegetable,4.5,26.0,4.7,7.7,6.9,29,Unripe,Large,732.6,False
Mango,Fruit,2.4,50.1,1.2,4.8,24.3,69,Overripe,Medium,183.7,True
Tamarind,Fruit,7.0,97.2,2.0,1.4,19.7,59,Overripe,Large,350.9,True
Okra,Vegetable,4.9,46.9,1.9,2.2,12.9,51,Overripe,Medium,516.6,False
Spinach,Vegetable,4.9,46.3,3.6,5.8,5.1,56,Ripe,Large,614.4,False
Strawberry,Fruit,5.3,51.3,2.6,2.6,7.4,79,Overripe,Medium,338.5,True
Jackfruit,Fruit,10.6,97.4,2.6,4.2,18.1,69,Ripe,Medium,205.8,True
Apple,Fruit,13.6,37.7,1.1,1.5,12.4,53,Overripe,Medium,199.7,True
Jackfruit,Fruit,15.7,62.2,1.5,2.6,18.7,47,Overripe,Medium,240.7,True
Pomegranate,Fruit,12.9,37.8,1.1,4.7,9.2,56,Unripe,Small,147.4,True
Sweet Corn,Vegetable,0.7,27.6,4.5,5.4,12.9,48,Unripe,Medium,403.8,False
Dragon Fruit,Fruit,11.3,84.8,2.4,3.7,9.7,42,Unripe,Large,214.2,True
Plum,Fruit,3.7,70.6,0.7,2.9,20.1,46,Ripe,Large,437.9,True
Green Chili,Vegetable,2.2,56.0,1.2,1.7,13.9,33,Unripe,Medium,521.4,False
Avocado,Fruit,1.5,65.6,1.2,1.3,13.9,95,Ripe,Small,208.5,True
Potato,Vegetable,1.9,28.4,3.4,2.1,3.2,46,Ripe,Medium,371.2,False
Yam,Vegetable,1.0,41.8,2.8,3.0,9.6,25,Ripe,Medium,1306.9,False
Green Chili,Vegetable,0.6,54.1,4.3,3.1,13.0,52,Unripe,Large,891.0,False
Pear,Fruit,19.8,55.5,3.0,4.6,14.9,86,Overripe,Small,492.4,True
Fig,Fruit,3.6,84.6,1.8,3.9,16.1,96,Ripe,Large,259.4,True
Garlic,Vegetable,4.6,44.4,3.0,2.2,3.9,35,Unripe,Large,301.5,False
Okra,Vegetable,1.7,60.8,1.8,3.0,10.1,26,Overripe,Small,814.0,False
Chayote,Vegetable,1.1,29.2,2.2,1.9,7.9,45,Unripe,Small,1269.4,False
Drumstick,Vegetable,3.5,33.0,4.1,7.9,9.2,20,Ripe,Large,598.1,False
Colocasia,Vegetable,0.9,34.5,2.0,1.5,9.9,35,Overripe,Large,935.9,False
Yam,Vegetable,2.0,52.5,1.0,3.6,7.8,52,Ripe,Small,139.8,False
Sweet Lime,Fruit,14.2,62.4,2.4,1.3,6.8,68,Overripe,Large,362.8,True
Fenugreek,Vegetable,3.7,38.1,1.3,2.9,5.8,51,Unripe,Large,1021.4,False
Cauliflower,Vegetable,0.9,47.7,4.5,1.2,5.1,56,Overripe,Large,887.5,False
Lychee,Fruit,16.7,50.4,1.0,1.8,16.7,45,Overripe,Medium,305.9,True
Apple,Fruit,12.5,57.6,2.6,3.8,19.1,89,Overripe,Small,323.8,True
Cauliflower,Vegetable,0.4,64.8,1.7,7.1,11.0,29,Overripe,Large,1454.6,False
Yam,Vegetable,2.6,67.2,2.2,5.0,5.5,49,Ripe,Medium,1131.5,False
Jackfruit,Fruit,18.3,65.8,1.2,3.4,17.6,48,Overripe,Medium,299.7,True
Mango,Fruit,8.1,69.4,2.6,0.9,14.1,90,Ripe,Large,280.4,True
Chayote,Vegetable,4.2,20.0,3.1,5.4,4.7,49,Ripe,Medium,1106.5,False
Tamarind,Fruit,11.1,93.4,2.6,3.7,8.6,82,Overripe,Medium,430.7,True
Pomegranate,Fruit,12.4,50.2,2.5,2.1,9.5,59,Ripe,Medium,198.0,True
Sapodilla,Fruit,12.1,91.1,2.5,4.1,21.8,70,Overripe,Large,448.8,True
Tomato,Vegetable,0.3,27.6,4.8,2.0,13.8,39,Overripe,Small,225.7,False
Yam,Vegetable,1.8,49.3,3.6,2.2,13.5,42,Ripe,Large,1495.7,False
Peach,Fruit,19.2,72.1,2.2,4.0,19.6,68,Overripe,Medium,234.5,True
Apple,Fruit,18.3,85.6,2.7,4.3,10.2,47,Ripe,Large,413.5,True
Drumstick,Vegetable,3.1,56.4,4.8,1.7,7.2,58,Unripe,Small,778.8,False
Pear,Fruit,15.6,32.9,2.5,2.6,17.4,41,Unripe,Medium,329.3,True
Sapodilla,Fruit,13.4,43.4,1.0,1.7,21.0,63,Overripe,Medium,362.8,True
Peas,Vegetable,3.0,51.3,4.2,4.7,7.3,22,Overripe,Small,394.2,False
Mushrooms,Vegetable,3.2,22.5,4.7,2.4,14.7,35,Overripe,Small,440.8,False
Cabbage,Vegetable,4.9,44.4,3.8,6.1,5.3,37,Overripe,Large,1316.5,False
Potato,Vegetable,4.9,65.6,4.3,2.6,6.5,48,Unripe,Large,509.4,False
Mango,Fruit,4.7,88.6,1.9,3.0,19.7,56,Ripe,Medium,98.9,True
Radish,Vegetable,4.5,27.2,3.2,6.5,10.9,50,Unripe,Small,496.0,False
Potato,Vegetable,5.0,30.7,2.6,5.1,10.5,58,Overripe,Large,508.6,False
Grapes,Fruit,19.7,59.5,1.2,4.4,19.0,99,Ripe,Large,100.8,True
Green Chili,Vegetable,4.3,54.6,1.9,2.4,8.1,48,Unripe,Medium,423.1,False
Grapes,Fruit,2.4,99.2,1.6,4.3,14.5,92,Unripe,Large,103.4,True
Guava,Fruit,8.0,39.1,0.9,4.6,20.8,49,Ripe,Small,303.6,True
Kohlrabi,Vegetable,1.6,50.4,4.7,4.8,6.8,28,Overripe,Large,799.9,False
Banana,Fruit,13.5,38.0,1.1,3.9,6.7,80,Ripe,Medium,446.1,True
Coriander Leaves,Vegetable,4.7,65.0,4.3,5.2,4.4,45,Ripe,Medium,822.1,False
Papaya,Fruit,0.8,57.1,1.8,2.4,6.7,57,Unripe,Medium,104.0,True
Plum,Fruit,5.9,62.8,2.6,4.5,18.6,73,Overripe,Large,144.1,True
Bottle Gourd,Vegetable,0.2,29.9,1.7,6.8,8.1,38,Unripe,Medium,1094.6,False
Peas,Vegetable,4.8,57.4,4.2,3.8,10.8,24,Unripe,Large,909.8,False
Radish,Vegetable,3.0,39.6,4.3,7.4,5.5,34,Ripe,Medium,1309.3,False
Tomato,Vegetable,4.4,69.4,1.7,2.9,3.9,38,Ripe,Medium,728.2,False
Garlic,Vegetable,3.0,38.4,4.5,4.3,6.7,24,Ripe,Small,531.4,False
French Beans,Vegetable,0.4,43.1,4.6,3.6,6.3,34,Unripe,Medium,844.2,False
Bitter Gourd,Vegetable,0.2,48.6,3.8,2.2,5.1,24,Unripe,Small,1424.8,False
Ginger,Vegetable,4.7,33.2,4.4,3.5,14.2,60,Ripe,Small,183.8,False
French Beans,Vegetable,2.9,21.1,4.9,3.4,12.1,37,Unripe,Medium,617.7,False
Lychee,Fruit,5.1,90.8,2.1,2.9,18.8,47,Ripe,Large,402.2,True
Spinach,Vegetable,1.5,62.5,2.0,4.9,5.3,32,Overripe,Medium,1368.8,False
Lychee,Fruit,14.3,43.6,1.5,0.7,22.1,75,Overripe,Large,138.1,True
Beetroot,Vegetable,3.3,31.2,2.5,1.1,12.7,53,Ripe,Small,627.5,False
Guava,Fruit,5.7,86.8,0.8,3.5,12.1,47,Ripe,Large,216.5,True
Spinach,Vegetable,2.1,70.0,3.2,3.8,4.1,54,Unripe,Small,456.3,False
Watermelon,Fruit,12.5,36.9,2.3,1.5,7.3,75,Ripe,Small,456.9,True
Tamarind,Fruit,10.3,53.3,1.6,3.5,23.6,48,Ripe,Medium,450.5,True
Orange,Fruit,9.1,44.4,1.0,2.9,21.9,64,Unripe,Small,407.3,True
Okra,Vegetable,0.5,30.8,3.4,2.0,13.9,27,Overripe,Medium,1121.3,False
Pumpkin,Vegetable,4.1,24.8,3.9,4.3,9.8,53,Unripe,Small,244.3,False
Spinach,Vegetable,4.7,31.7,4.3,7.8,3.2,21,Ripe,Small,1023.6,False
Apple,Fruit,12.9,61.3,1.1,1.4,18.5,42,Ripe,Small,410.1,True
Grapes,Fruit,4.3,96.6,1.6,1.6,6.2,75,Ripe,Medium,328.5,True
Sapodilla,Fruit,1.3,37.0,2.5,1.1,9.6,59,Unripe,Small,327.6,True
Grapes,Fruit,12.1,96.5,1.6,2.2,22.7,44,Unripe,Medium,490.7,True
Colocasia,Vegetable,0.2,24.0,2.6,3.3,10.9,59,Ripe,Small,658.6,False
Drumstick,Vegetable,0.2,61.2,4.3,3.6,8.3,29,Overripe,Small,486.0,False
Kohlrabi,Vegetable,4.9,32.1,3.8,2.3,10.8,28,Ripe,Medium,1391.9,False
Tomato,Vegetable,4.6,64.7,1.7,6.8,13.4,31,Overripe,Medium,293.3,False
Bottle Gourd,Vegetable,1.9,34.0,4.8,4.6,11.0,25,Ripe,Medium,903.8,False
Kohlrabi,Vegetable,1.2,21.7,4.0,5.5,8.7,38,Ripe,Large,172.3,False
Bottle Gourd,Vegetable,2.9,61.9,1.1,5.1,12.6,43,Ripe,Medium,691.9,False
Tamarind,Fruit,18.3,99.1,1.5,1.6,18.3,58,Ripe,Medium,411.6,True
Guava,Fruit,8.2,52.7,1.6,0.8,13.8,100,Overripe,Medium,272.5,True
Potato,Vegetable,4.8,56.5,2.5,1.5,13.1,33,Overripe,Medium,533.3,False
Lychee,Fruit,6.9,39.8,1.4,4.5,12.5,81,Ripe,Medium,489.8,True
Mushrooms,Vegetable,3.6,34.2,1.8,3.6,7.4,24,Overripe,Small,896.4,False
Jackfruit,Fruit,0.4,51.3,2.0,2.6,18.9,54,Overripe,Large,225.6,True
Beetroot,Vegetable,4.6,22.7,2.4,4.7,3.0,40,Unripe,Small,668.7,False
Spinach,Vegetable,1.3,43.9,2.5,6.3,6.7,59,Unripe,Large,1198.8,False
Sapodilla,Fruit,4.8,62.3,2.8,4.8,12.0,86,Ripe,Small,479.4,True
Spinach,Vegetable,0.8,25.0,4.7,3.5,8.3,60,Unripe,Large,939.6,False
Pear,Fruit,10.7,93.3,2.1,4.7,10.1,58,Unripe,Small,497.5,True
Plum,Fruit,15.9,37.1,2.9,4.0,8.5,44,Ripe,Large,485.4,True
Sweet Lime,Fruit,0.8,93.7,0.9,0.6,9.2,67,Unripe,Large,189.2,True
Tamarind,Fruit,7.0,31.8,2.3,3.5,23.4,58,Overripe,Small,182.6,True
Pear,Fruit,17.6,93.0,2.1,4.0,17.2,59,Overripe,Medium,104.4,True
Tomato,Vegetable,1.3,30.9,4.6,5.3,5.6,35,Ripe,Medium,944.5,False
Sapodilla,Fruit,12.8,49.7,1.0,3.0,17.3,62,Ripe,Large,252.4,True
Custard Apple,Fruit,15.3,59.5,1.7,1.1,19.5,91,Ripe,Medium,266.7,True
Guava,Fruit,0.7,80.2,1.8,4.8,16.9,42,Unripe,Large,289.2,True
Tamarind,Fruit,1.5,59.8,2.3,3.8,9.9,73,Ripe,Large,289.4,True
Orange,Fruit,11.3,82.2,2.8,3.6,21.1,69,Overripe,Small,118.8,True
Spinach,Vegetable,0.5,30.7,4.8,4.6,14.1,43,Ripe,Medium,732.5,False
Fenugreek,Vegetable,3.8,28.0,3.2,2.7,14.4,56,Ripe,Large,274.8,False
Cabbage,Vegetable,1.2,26.9,3.0,6.7,6.9,49,Overripe,Medium,1191.8,False
Pineapple,Fruit,15.9,80.9,1.8,2.1,18.4,66,Unripe,Large,145.2,True
Plum,Fruit,12.7,84.0,1.3,1.6,20.1,74,Unripe,Small,461.6,True
Drumstick,Vegetable,4.1,35.8,3.2,4.2,8.4,44,Ripe,Small,587.2,False
Brinjal,Vegetable,3.6,31.9,4.5,3.4,11.5,21,Overripe,Large,466.2,False
Custard Apple,Fruit,10.0,64.9,2.4,3.2,15.5,41,Ripe,Large,296.2,True
Jackfruit,Fruit,8.9,54.1,2.3,2.1,20.5,40,Overripe,Small,364.4,True
Grapes,Fruit,13.1,43.8,2.1,0.6,13.2,61,Unripe,Small,476.1,True
Spinach,Vegetable,3.7,59.2,3.8,1.5,12.7,57,Overripe,Medium,948.9,False
Coriander Leaves,Vegetable,3.2,25.9,3.8,7.3,4.6,39,Ripe,Medium,690.7,False
Cabbage,Vegetable,3.4,67.3,3.4,2.9,10.4,23,Ripe,Small,1224.1,False
Fenugreek,Vegetable,3.5,65.7,4.9,4.5,7.0,60,Ripe,Medium,849.0,False
Orange,Fruit,8.9,81.7,1.6,2.5,10.2,92,Overripe,Small,330.2,True
Dragon Fruit,Fruit,19.0,30.4,2.5,4.7,9.6,61,Ripe,Medium,74.7,True
Pomegranate,Fruit,2.2,97.8,2.1,2.5,23.3,40,Ripe,Medium,61.7,True
Guava,Fruit,12.7,61.5,0.9,4.4,19.0,97,Unripe,Small,342.6,True
Beetroot,Vegetable,1.5,30.1,3.1,4.2,11.3,32,Overripe,Small,170.4,False
Chayote,Vegetable,3.4,56.7,3.8,5.9,11.4,45,Ripe,Medium,1423.1,False
Garlic,Vegetable,1.4,20.7,3.4,5.1,8.2,56,Overripe,Small,963.6,False
Kohlrabi,Vegetable,3.2,53.4,3.8,2.4,4.0,35,Unripe,Small,496.7,False
Onion,Vegetable,2.8,23.9,2.5,3.5,14.5,42,Ripe,Medium,705.6,False
Cabbage,Vegetable,1.0,25.6,3.1,3.2,6.6,34,Ripe,Medium,107.2,False
Yam,Vegetable,0.7,63.4,4.2,4.2,12.6,25,Ripe,Medium,1240.4,False
Strawberry,Fruit,2.1,68.7,2.6,4.9,13.8,78,Overripe,Medium,276.4,True
Drumstick,Vegetable,3.0,32.3,2.1,6.1,5.7,57,Overripe,Small,199.0,False
Sweet Corn,Vegetable,2.1,44.4,4.3,1.7,3.1,28,Overripe,Medium,1148.0,False
Bottle Gourd,Vegetable,0.7,53.0,3.0,3.3,12.9,22,Unripe,Small,1425.1,False
Yam,Vegetable,4.1,54.9,1.3,1.7,10.9,34,Ripe,Medium,1055.0,False
Cabbage,Vegetable,2.8,21.6,4.7,4.2,7.5,36,Unripe,Small,1015.3,False
French Beans,Vegetable,0.8,32.1,3.8,4.4,4.5,25,Overripe,Large,575.1,False
Grapes,Fruit,12.3,87.1,1.6,2.3,14.8,94,Unripe,Small,477.0,True
Mushrooms,Vegetable,4.5,49.7,3.3,3.4,8.5,38,Unripe,Medium,497.0,False
Brinjal,Vegetable,4.1,56.0,2.2,1.7,8.7,49,Ripe,Large,547.5,False
Cauliflower,Vegetable,4.5,43.7,2.3,7.5,9.0,22,Overripe,Large,273.9,False
Peas,Vegetable,0.8,64.5,5.0,1.5,6.1,44,Overripe,Large,1292.2,False
Fig,Fruit,15.3,56.4,1.1,1.8,19.8,65,Overripe,Small,181.0,True
Yam,Vegetable,0.6,33.8,3.1,7.3,8.5,35,Unripe,Medium,1475.0,False
Tomato,Vegetable,0.7,67.5,4.9,7.4,5.0,59,Ripe,Small,1197.3,False
Lychee,Fruit,6.6,57.9,0.6,0.8,9.0,69,Overripe,Large,477.1,True
Tomato,Vegetable,2.5,56.3,2.8,4.8,6.0,40,Ripe,Medium,802.6,False
Yam,Vegetable,4.7,54.2,2.9,6.5,13.4,38,Overripe,Small,357.9,False
Potato,Vegetable,1.8,50.6,2.0,2.5,7.9,28,Unripe,Large,539.5,False
Chayote,Vegetable,2.8,51.4,1.0,2.7,11.1,35,Overripe,Large,1497.4,False
Yam,Vegetable,4.7,25.5,1.1,4.7,14.4,31,Ripe,Small,1444.8,False
Litchi,Fruit,18.8,44.3,0.9,4.0,24.1,52,Unripe,Large,484.0,True
Sweet Lime,Fruit,11.5,57.7,1.6,0.7,19.3,84,Ripe,Small,427.4,True
Sweet Lime,Fruit,2.4,44.2,2.8,1.3,20.4,85,Ripe,Large,209.5,True
Gooseberry,Fruit,9.9,36.4,1.8,3.3,13.9,95,Unripe,Large,285.8,True
Onion,Vegetable,1.8,42.4,1.8,2.5,12.4,39,Unripe,Small,545.2,False
Spinach,Vegetable,1.3,32.3,4.1,4.8,6.0,49,Ripe,Large,612.7,False
Drumstick,Vegetable,2.6,43.0,2.9,4.4,3.9,51,Ripe,Small,369.7,False
Peas,Vegetable,1.6,31.3,4.6,2.7,4.7,57,Unripe,Medium,773.0,False
Strawberry,Fruit,19.2,56.5,1.9,4.3,8.6,58,Ripe,Large,231.5,True
Plum,Fruit,6.9,91.9,1.9,3.5,23.6,49,Unripe,Medium,60.5,True
Dragon Fruit,Fruit,12.5,75.0,2.9,3.3,22.8,63,Ripe,Large,274.2,True
Ginger,Vegetable,1.3,33.6,1.0,6.0,5.4,51,Unripe,Medium,1369.6,False
Beetroot,Vegetable,3.6,51.5,2.7,5.8,10.4,21,Ripe,Large,1271.0,False
Apple,Fruit,17.7,63.4,1.0,2.2,14.8,66,Unripe,Medium,438.2,True
Mango,Fruit,15.6,31.0,0.6,3.3,16.1,93,Overripe,Small,94.9,True
Litchi,Fruit,18.6,95.1,1.3,1.3,23.0,52,Overripe,Medium,217.4,True
Orange,Fruit,15.5,54.8,2.3,1.1,15.1,96,Ripe,Large,272.6,True
Pineapple,Fruit,8.9,92.1,2.0,1.6,18.9,76,Unripe,Large,447.3,True
Orange,Fruit,2.3,54.9,1.0,3.0,23.4,86,Overripe,Large,463.9,True
Sweet Corn,Vegetable,0.1,45.2,4.4,5.7,5.1,49,Overripe,Small,105.4,False
Fig,Fruit,7.8,63.1,2.2,4.8,7.7,86,Unripe,Medium,407.3,True
Colocasia,Vegetable,3.6,45.3,4.7,6.1,6.2,36,Ripe,Large,188.1,False
Sweet Corn,Vegetable,4.2,43.1,3.6,4.4,9.9,46,Overripe,Small,744.4,False
Pear,Fruit,9.8,41.0,2.4,2.4,23.0,60,Unripe,Medium,271.0,True
Custard Apple,Fruit,18.4,98.4,2.4,1.4,25.0,71,Unripe,Medium,230.6,True
Sweet Lime,Fruit,10.3,89.2,2.6,3.3,20.9,41,Overripe,Small,280.2,True
Green Chili,Vegetable,4.2,49.8,1.7,6.6,11.0,40,Unripe,Medium,669.2,False
Orange,Fruit,8.3,43.5,2.0,1.3,21.1,99,Ripe,Small,438.4,True
Tomato,Vegetable,3.4,55.8,3.2,4.6,7.0,59,Unripe,Small,939.5,False
Chayote,Vegetable,0.5,28.0,3.4,4.8,4.1,52,Overripe,Large,368.7,False
French Beans,Vegetable,1.9,55.2,2.7,4.2,5.1,36,Unripe,Medium,796.7,False
Orange,Fruit,16.4,44.7,2.8,3.4,14.0,96,Overripe,Large,326.9,True
Cauliflower,Vegetable,2.3,60.4,2.0,1.1,3.9,49,Ripe,Large,893.2,False
Gooseberry,Fruit,13.6,42.6,0.7,3.5,6.4,52,Overripe,Small,438.7,True
Sapodilla,Fruit,3.6,66.5,2.4,4.4,8.6,98,Overripe,Medium,68.3,True
Sweet Lime,Fruit,16.8,81.5,0.8,1.7,15.5,99,Ripe,Medium,307.3,True
Kohlrabi,Vegetable,2.4,66.7,3.9,6.5,5.1,31,Unripe,Medium,885.1,False
Tamarind,Fruit,18.2,51.0,2.5,2.7,9.4,55,Overripe,Small,303.3,True
Fenugreek,Vegetable,0.4,61.1,4.4,1.6,8.2,49,Overripe,Medium,537.3,False
Sweet Lime,Fruit,13.1,79.0,2.5,2.7,12.5,81,Ripe,Medium,89.5,True
Jackfruit,Fruit,1.6,95.1,1.2,2.8,5.5,56,Overripe,Medium,492.6,True
Apple,Fruit,10.7,45.1,1.4,2.3,14.0,42,Ripe,Small,357.9,True
Gooseberry,Fruit,13.0,68.7,1.6,1.0,9.6,60,Unripe,Large,112.2,True
Strawberry,Fruit,17.7,90.8,1.9,2.8,22.5,76,Overripe,Medium,322.6,True
Kohlrabi,Vegetable,4.1,65.6,4.8,6.1,6.4,29,Ripe,Medium,1488.9,False
Potato,Vegetable,0.0,39.6,4.8,3.2,3.2,54,Unripe,Large,257.6,False
Carrot,Vegetable,0.4,44.1,4.6,4.0,8.1,40,Ripe,Medium,1411.4,False
Peach,Fruit,11.8,78.3,2.4,4.6,20.8,58,Ripe,Small,168.7,True
Tamarind,Fruit,9.4,91.1,2.8,3.5,8.9,59,Ripe,Large,364.3,True
Dragon Fruit,Fruit,9.1,58.1,2.8,4.1,19.8,82,Unripe,Large,250.3,True
Tomato,Vegetable,0.3,43.1,5.0,1.6,9.7,49,Overripe,Small,636.7,False
Peach,Fruit,4.1,71.7,2.8,4.3,14.0,94,Unripe,Small,257.1,True
Pumpkin,Vegetable,1.3,37.4,1.1,4.5,9.2,21,Overripe,Small,934.2,False
Gooseberry,Fruit,0.1,92.0,1.5,4.0,6.3,44,Ripe,Large,179.6,True
Pineapple,Fruit,15.9,93.8,0.5,2.3,16.2,85,Ripe,Medium,459.7,True
Bottle Gourd,Vegetable,2.2,66.5,3.5,1.4,11.8,60,Ripe,Large,1279.9,False
